     TIME           U            X
   4.99999970E-02  -1.00000000       0.00000000    
   4.99999970E-02 -0.987606645       9.99999978E-03
   4.99999970E-02 -0.975250959       1.99999996E-02
   4.99999970E-02 -0.962970257       2.99999993E-02
   4.99999970E-02 -0.950800419       3.99999991E-02
   4.99999970E-02 -0.938775659       4.99999970E-02
   4.99999970E-02 -0.926927924       5.99999987E-02
   4.99999970E-02 -0.915286303       7.00000003E-02
   4.99999970E-02 -0.903876722       7.99999982E-02
   4.99999970E-02 -0.892721415       8.99999961E-02
   4.99999970E-02 -0.881838620       9.99999940E-02
   4.99999970E-02 -0.871242166      0.109999999    
   4.99999970E-02 -0.860941708      0.119999997    
   4.99999970E-02 -0.850941598      0.129999995    
   4.99999970E-02 -0.841242313      0.140000001    
   4.99999970E-02 -0.831838489      0.149999991    
   4.99999970E-02 -0.822721481      0.159999996    
   4.99999970E-02 -0.813876629      0.170000002    
   4.99999970E-02 -0.805286288      0.179999992    
   4.99999970E-02 -0.796927810      0.189999998    
   4.99999970E-02 -0.788775682      0.199999988    
   4.99999970E-02 -0.780800343      0.209999993    
   4.99999970E-02 -0.772970378      0.219999999    
   4.99999970E-02 -0.765250921      0.229999989    
   4.99999970E-02 -0.757606745      0.239999995    
   4.99999970E-02 -0.750000000      0.250000000    
   4.99999970E-02 -0.742393494      0.259999990    
   4.99999970E-02 -0.734748960      0.269999981    
   4.99999970E-02 -0.727029800      0.280000001    
   4.99999970E-02 -0.719199598      0.289999992    
   4.99999970E-02 -0.711224437      0.299999982    
   4.99999970E-02 -0.703072131      0.310000002    
   4.99999970E-02 -0.694713831      0.319999993    
   4.99999970E-02 -0.686123252      0.329999983    
   4.99999970E-02 -0.677278638      0.340000004    
   4.99999970E-02 -0.668161392      0.349999994    
   4.99999970E-02 -0.658757806      0.359999985    
   4.99999970E-02 -0.649058282      0.370000005    
   4.99999970E-02 -0.639058411      0.379999995    
   4.99999970E-02 -0.628757715      0.389999986    
   4.99999970E-02 -0.618161500      0.399999976    
   4.99999970E-02 -0.607278466      0.409999996    
   4.99999970E-02 -0.596123397      0.419999987    
   4.99999970E-02 -0.584713578      0.429999977    
   4.99999970E-02 -0.573072195      0.439999998    
   4.99999970E-02 -0.561224222      0.449999988    
   4.99999970E-02 -0.549199641      0.459999979    
   4.99999970E-02 -0.537029624      0.469999999    
   4.99999970E-02 -0.524749041      0.479999989    
   4.99999970E-02 -0.512393236      0.489999980    
   4.99999970E-02 -0.500000000      0.500000000    
   4.99999970E-02 -0.487606525      0.509999990    
   4.99999970E-02 -0.475251019      0.519999981    
   4.99999970E-02 -0.462970197      0.529999971    
   4.99999970E-02 -0.450800419      0.539999962    
   4.99999970E-02 -0.438775599      0.550000012    
   4.99999970E-02 -0.426927894      0.560000002    
   4.99999970E-02 -0.415286273      0.569999993    
   4.99999970E-02 -0.403876722      0.579999983    
   4.99999970E-02 -0.392721415      0.589999974    
   4.99999970E-02 -0.381838620      0.599999964    
   4.99999970E-02 -0.371242225      0.610000014    
   4.99999970E-02 -0.360941708      0.620000005    
   4.99999970E-02 -0.350941658      0.629999995    
   4.99999970E-02 -0.341242254      0.639999986    
   4.99999970E-02 -0.331838608      0.649999976    
   4.99999970E-02 -0.322721452      0.659999967    
   4.99999970E-02 -0.313876748      0.669999957    
   4.99999970E-02 -0.305286318      0.680000007    
   4.99999970E-02 -0.296927959      0.689999998    
   4.99999970E-02 -0.288775682      0.699999988    
   4.99999970E-02 -0.280800521      0.709999979    
   4.99999970E-02 -0.272970319      0.719999969    
   4.99999970E-02 -0.265251130      0.729999959    
   4.99999970E-02 -0.257606685      0.740000010    
   4.99999970E-02 -0.250000119      0.750000000    
   4.99999970E-02 -0.242393419      0.759999990    
   4.99999970E-02 -0.234749079      0.769999981    
   4.99999970E-02 -0.227029771      0.779999971    
   4.99999970E-02 -0.219199657      0.789999962    
   4.99999970E-02 -0.211224422      0.799999952    
   4.99999970E-02 -0.203072190      0.810000002    
   4.99999970E-02 -0.194713801      0.819999993    
   4.99999970E-02 -0.186123371      0.829999983    
   4.99999970E-02 -0.177278638      0.839999974    
   4.99999970E-02 -0.168161452      0.849999964    
   4.99999970E-02 -0.158757806      0.859999955    
   4.99999970E-02 -0.149058372      0.870000005    
   4.99999970E-02 -0.139058366      0.879999995    
   4.99999970E-02 -0.128757805      0.889999986    
   4.99999970E-02 -0.118161418      0.899999976    
   4.99999970E-02 -0.107278630      0.909999967    
